		Bat		R1		R2		R3		R4
	volt	curr	volt	curr	volt	curr	volt	curr	volt	curr
	24.00	0.00	11.97	1.99	3.99	1.00	8.00	1.00	11.97	1.00
	24.00	0.00	11.97	1.99	3.99	1.00	8.00	1.00	11.97	1.00
	24.00	0.00	11.97	1.99	3.99	1.00	8.00	1.00	11.97	1.00
	24.00	0.00	11.97	1.99	3.99	1.00	8.00	1.00	11.97	1.00
	24.00	0.00	11.97	1.99	3.99	1.00	8.00	1.00	11.97	1.00
	24.00	0.00	11.97	1.99	3.99	1.00	8.00	1.00	11.97	1.00
	24.00	0.00	11.97	1.99	3.99	1.00	8.00	1.00	11.97	1.00
	24.00	0.00	11.97	1.99	3.99	1.00	8.00	1.00	11.97	1.00
	24.00	0.00	11.97	1.99	3.99	1.00	8.00	1.00	11.97	1.00
	24.00	0.00	11.97	1.99	3.99	1.00	8.00	1.00	11.97	1.00
		Bat		R1		R2		R3		R4		R5
	volt	curr	volt	curr	volt	curr	volt	curr	volt	curr	volt	curr
	24.00	0.00	7.47	0.05	5.28	0.11	2.19	0.02	16.53	0.06	18.72	0.07
	24.00	0.00	6.40	0.04	4.72	0.09	1.68	0.02	17.60	0.06	19.28	0.08
	24.00	0.00	6.35	0.04	4.69	0.09	1.65	0.02	17.65	0.06	19.30	0.08
	24.00	0.00	6.35	0.04	4.69	0.09	1.65	0.02	17.65	0.06	19.30	0.08
	24.00	0.00	6.35	0.04	4.69	0.09	1.65	0.02	17.65	0.06	19.30	0.08
	24.00	0.00	6.35	0.04	4.69	0.09	1.65	0.02	17.65	0.06	19.30	0.08
	24.00	0.00	6.35	0.04	4.69	0.09	1.65	0.02	17.65	0.06	19.30	0.08
	24.00	0.00	6.35	0.04	4.69	0.09	1.65	0.02	17.65	0.06	19.30	0.08
	24.00	0.00	6.35	0.04	4.69	0.09	1.65	0.02	17.65	0.06	19.30	0.08
	24.00	0.00	6.35	0.04	4.69	0.09	1.65	0.02	17.65	0.06	19.30	0.08
		Bat		R1		R2		C3		R4		C5
	volt	curr	volt	curr	volt	curr	volt	curr	volt	curr	volt	curr
	24.00	0.00	8.50	0.06	4.10	0.08	4.40	0.01	15.50	0.05	19.90	0.03
	24.00	0.00	7.31	0.05	0.94	0.02	6.38	0.01	16.68	0.06	23.06	0.01
	24.00	0.00	7.57	0.05	0.30	0.01	7.27	0.00	16.43	0.05	23.70	0.00
	24.00	0.00	7.79	0.05	0.12	0.00	7.67	0.00	16.21	0.05	23.88	0.00
	24.00	0.00	7.90	0.05	0.05	0.00	7.85	0.00	16.10	0.05	23.95	0.00
	24.00	0.00	7.95	0.05	0.02	0.00	7.93	0.00	16.04	0.05	23.98	0.00
	24.00	0.00	7.97	0.05	0.01	0.00	7.96	0.00	16.02	0.05	23.99	0.00
	24.00	0.00	7.99	0.05	0.00	0.00	7.98	0.00	16.01	0.05	23.99	0.00
	24.00	0.00	8.00	0.05	0.00	0.00	7.99	0.00	16.00	0.05	23.99	0.00
	24.00	0.00	8.00	0.05	0.00	0.00	7.99	0.00	16.00	0.05	23.99	0.00
